scenario_index,v27_rf,v28_rf,delta_rf,v27_progress,v28_progress,delta_progress,v27_comfort,v28_comfort,delta_comfort,v27_collision,v28_collision,delta_collision,v27_overlap,v28_overlap,delta_overlap,v27_offroad,v28_offroad,delta_offroad,v27_accuracy,v28_accuracy,delta_accuracy
75,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
76,0.97749996,0.97749996,0.0,1.0,1.0,0.0,0.925,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
77,1.0,0.9325,-0.0675,1.0,1.0,0.0,1.0,0.77500004,-0.22499996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
78,1.0,0.94701654,-0.05298345999999998,1.0,0.95645225,-0.043547749999999996,1.0,0.925,-0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
79,0.97394353,0.9479085,-0.02603502999999996,0.96277636,0.92558354,-0.037192820000000015,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
80,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
81,0.86221784,0.86596775,0.003749910000000023,0.85673976,0.85673976,0.0,0.875,0.8875,0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
82,1.0,0.9521392,-0.04786080000000004,1.0,0.9316274,-0.0683726,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
83,1.0,0.9401644,-0.05983559999999999,0.99999994,0.91452056,-0.08547938,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
84,0.92966634,0.9442108,0.014544459999999981,0.8995234,0.9203011,0.02077770000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
85,0.8851306,0.8951079,0.009977299999999967,0.90018654,0.8501542,-0.05003234000000001,0.85,1.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
86,0.92935276,0.9062201,-0.023132660000000027,0.8990754,0.8660287,-0.033046699999999984,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
87,0.9405815,0.803054,-0.1375274999999999,0.9151164,0.7186485,-0.19646790000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
