scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,risk_object_index,risk_distance,risk_static_clearance,risk_predicted_clearance,risk_dcpa,risk_tcpa_raw,risk_tcpa_clipped,risk_future_tcpa,risk_approaching,risk_closing_speed,second_object_index,second_distance,second_static_clearance,second_predicted_clearance,second_dcpa,second_future_tcpa,second_approaching,top2_mean_predicted_clearance,second_minus_first_pred_gap,num_pred_conflict_0,num_pred_conflict_1,num_pred_conflict_2,min_future_tcpa_conflict_0,min_future_tcpa_conflict_1,min_future_tcpa_conflict_2
395,SAFE,66,6.6000000000000005,1.0,56,5.6000000000000005,1,19.976609744026167,14.779581188189812,0.10681832551887371,5.303846881355228,2.5343427410531785,2.5343427410531785,2.5343427410531785,1,7.326721427251165,4,10.639110162046691,5.422855060275161,4.5663609112786325,9.782616013050163,0.38873779983976825,1,2.336589618398753,4.459542585759759,0,1,1,5.0,2.5343427410531785,2.5343427410531785
395,SAFE,66,6.6000000000000005,0.5,61,6.1000000000000005,1,16.421928417584425,11.22489986174807,-3.650448846590425,1.5465797092459295,2.506775913331672,2.506775913331672,2.506775913331672,1,6.4929118660067395,4,9.78392322027866,4.567668118507131,4.567668118507131,9.78392322027866,5.0,0,0.4586096359583529,8.218116965097556,1,1,1,2.506775913331672,2.506775913331672,2.506775913331672
445,SAFE,79,7.9,3.0,49,4.9,7,29.42845854517278,26.272427659082688,-2.765178170633788,0.39085271545630695,4.002540258340082,4.002540258340082,4.002540258340082,1,7.351148409198973,3,12.811648743251686,8.093628048515885,-0.38249601550804524,4.335524679227755,1.7271530406469515,1,-1.5738370930709167,2.382682155125743,2,3,5,1.7271530406469515,1.7271530406469515,1.5621162826924926
445,SAFE,79,7.9,2.0,59,5.9,2,30.874268328147785,25.862398946608685,-4.543766518448684,0.4681028630904146,4.126210712407328,4.126210712407328,4.126210712407328,1,7.480754934227707,3,5.994931465599107,1.2769107708633065,-1.0450042064522393,3.673016488283561,0.5944372015188766,1,-2.7943853624504618,3.4987623119964444,2,2,2,0.5944372015188766,0.5944372015188766,0.5944372015188766
445,SAFE,79,7.9,1.0,69,6.9,2,22.595428981580348,17.583559600041248,-2.575954235272986,2.435915146266112,2.6356904743021903,2.6356904743021903,2.6356904743021903,1,8.473234531137575,3,5.272467327590973,0.5544466328551723,0.5544466328551723,5.272467327590973,5.0,0,-1.0107538012089068,3.130400868128158,1,2,2,2.6356904743021903,2.6356904743021903,2.6356904743021903
445,SAFE,79,7.9,0.5,74,7.4,2,18.303515106608383,13.291645725069285,-2.234243242227445,2.777626139311653,2.16615619559167,2.16615619559167,2.16615619559167,1,8.255175734470555,7,14.252724609781488,11.096693723691393,2.192307873786808,5.348338759876903,2.276588074342337,1,-0.020967684220318583,4.426551116014252,1,1,1,2.16615619559167,2.16615619559167,2.16615619559167
498,SAFE,30,3.0,3.0,0,0.0,2,3.6152928397605013,-2.299255980325193,-2.299255980325193,3.6152928397605013,-0.2578360414991786,0.0,5.0,0,-1.6340694903520951,11,28.622079252808923,22.61346617371551,4.173158498991704,10.181771578085119,5.0,0,0.9369512593332554,6.472414479316897,1,1,1,5.0,5.0,5.0
498,SAFE,30,3.0,2.0,10,1.0,11,24.455546355184534,18.44693327609112,-0.7465081094226935,5.262104969670721,5.434677801426019,5.0,5.0,0,4.3192002405152525,2,6.3350080591563,0.42045923907060523,0.42045923907060523,6.3350080591563,5.0,0,-0.16302443517604415,1.1669673484932988,1,2,2,5.0,5.0,5.0
498,SAFE,30,3.0,1.0,20,2.0,3,24.146118903377644,18.271700903179205,-1.896111247875928,3.978306752322511,5.824205405066755,5.0,5.0,0,4.1157022345353065,11,20.25061689131841,14.242003812224993,0.8495413249074852,6.8581544040009,4.407821038953413,1,-0.5232849614842214,2.7456525727834133,1,2,3,5.0,4.407821038953413,4.407821038953413
498,SAFE,30,3.0,0.5,25,2.5,3,22.077210585238028,16.20279258503959,-2.9198001245153544,2.9546178756830845,5.555467314852259,5.0,5.0,0,3.9421950056244506,21,22.803504012146206,16.872193105421594,0.19499419780017924,6.126305104524791,5.0,0,-1.3624029633575876,3.1147943223155337,1,3,4,5.0,2.722922493073982,2.722922493073982
