scenario_index,V25_RideFlux,V26_RideFlux,Delta_RideFlux,V25_Progress,V26_Progress,Delta_Progress,V25_Comfort,V26_Comfort,Delta_Comfort,V25_Collision,V26_Collision,Delta_Collision,V25_Overlap,V26_Overlap,Delta_Overlap,V25_OffroadBox,V26_OffroadBox,Delta_OffroadBox,V25_Accuracy,V26_Accuracy,Delta_Accuracy,V25_BasePC,V26_BasePC,Delta_BasePC
98,0.92945826,0.94033396,0.010875700000000044,0.96351177,0.9147628,-0.04874897,0.85,1.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9294582389999999,0.94033396,0.010875721000000116
99,0.907386,0.89728224,-0.010103760000000017,0.92662287,0.85326034,-0.07336253000000004,0.8625,1.0,0.13749999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9073860089999999,0.8972822379999998,-0.01010377100000004
100,0.90856135,0.94837856,0.039817209999999936,0.98723036,0.9744695,-0.012760859999999985,0.725,0.8875,0.16249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9085612519999999,0.94837865,0.03981739800000006
101,0.92125,0.9483542,0.027104200000000023,1.0,0.9744346,-0.02556539999999996,0.7375,0.8875,0.1499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9212499999999999,0.94835422,0.027104220000000123
102,0.82049316,0.9218258,0.10133263999999997,0.7757045,0.8883225,0.112618,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8204931499999999,0.92182575,0.1013326000000001
103,0.91741866,0.9124007,-0.005017960000000099,0.96238375,0.87485814,-0.08752561000000003,0.8125,1.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9174186249999999,0.9124006979999999,-0.005017927000000033
104,0.8627667,0.8698034,0.007036700000000007,0.91109514,0.8622192,-0.04887594000000006,0.75,0.8875,0.13749999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.862766598,0.8698034399999999,0.007036841999999877
105,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
106,0.8085991,0.98668116,0.17808205999999993,0.7265702,0.9809732,0.25440299999999993,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8085991400000001,0.98668124,0.1780820999999999
107,0.92125,1.0,0.07874999999999999,1.0,1.0,0.0,0.7375,1.0,0.26249999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9212499999999999,1.0,0.0787500000000001
108,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
109,0.96625006,0.9322168,-0.034033260000000065,1.0,0.90316695,-0.09683304999999998,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9662499999999999,0.932216865,-0.03403313499999994
