scenario_index,v17_RideFlux,v24_RideFlux,delta_RideFlux,v17_Progress,v24_Progress,delta_Progress,v17_Comfort,v24_Comfort,delta_Comfort,v17_Collision,v24_Collision,delta_Collision,v17_Overlap,v24_Overlap,delta_Overlap,v17_OffroadBox,v24_OffroadBox,delta_OffroadBox,v17_Accuracy,v24_Accuracy,delta_Accuracy,offroad_fixed_by_v24,offroad_new_in_v24,overlap_fixed_by_v24,overlap_new_in_v24,collision_fixed_by_v24,collision_new_in_v24
76,0.97749996,1.0,0.022500040000000054,1.0,1.0,0.0,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
77,0.8110493,0.0,-0.8110493,0.7997132,0.4621065,-0.33760670000000004,0.83750004,0.85,0.012499959999999977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,-1,False,False,False,True,False,False
78,0.97749996,0.96194804,-0.015551919999999941,1.0,0.94564,-0.054359999999999964,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
79,0.91326714,0.8698992,-0.043367939999999994,0.8760959,0.8141417,-0.06195420000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
80,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
81,0.77184004,0.6842686,-0.08757143999999994,0.76512855,0.77931225,0.014183700000000021,0.7875,0.4625,-0.32499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
82,0.95500004,0.85981923,-0.09518081,1.0,0.79974174,-0.20025826000000002,0.85,1.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
83,1.0,0.9401644,-0.05983559999999999,0.99999994,0.91452056,-0.08547938,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
84,0.81824887,0.85004324,0.03179436999999996,0.7885698,0.8339903,0.045420499999999975,0.8875,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
85,0.7549643,0.83381367,0.07884936999999992,0.687449,0.76259094,0.07514194000000007,0.9125,1.0,0.08750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
